ID,filename,sentence_id,text,space_type,date
1,PG54214_raw.txt,1218,"""It was not long till Heracles went out in his might to rid the world of monsters, to defend the innocent and the helpless, and to set right that which is wrong; and, for aught I know, he is toiling still along the straight road of Virtue, towards the blue mountains of Fame.
",no_space,2025-08-10
2,PG33392_raw.txt,2803,"""He--in a business way----"" Anthony muttered vaguely.
",no_space,2025-08-10
3,PG48112_raw.txt,1515,"But I did have it, and I did read it.
",no_space,2025-08-10
4,PG40176_raw.txt,49,"PIPPIN PRAISES THE LORD                    297
",no_space,2025-08-10
5,PG20588_raw.txt,3186,"""Where the surface of a cast plate is polished the material is such that you can see through it, but if it is left rough it is impossible to see through it, although it will permit light to go through.
",no_space,2025-08-10
6,PG35787_raw.txt,3705,"The yells increased.
",no_space,2025-08-10
7,PG1154_raw.txt,1244,"Next he went back to the seashore, mingled with the crowd there and at last sneaked safely on to the big ship.
",action_space,2025-08-10
8,PG24103_raw.txt,2820,"""I do think it very odd that you cannot take that money;
",no_space,2025-08-10
9,PG50824_raw.txt,2586,"As darkness fell he saw members of the party gathering about the blaze with tin cans in their hands.
",visual_space,2025-08-10
10,PG19083_raw.txt,3080,"""I may forgive you, Harding,"" rejoined Jack, ""but I can never forget.""
",no_space,2025-08-10
11,PG14060_raw.txt,8527,"""I don't make out he wasn't human.
",no_space,2025-08-10
12,PG22883_raw.txt,3177,"The rooms were low and cramped, and had a mouldy, disused smell in them.
",descriptive_space,2025-08-26
13,PG28958_raw.txt,3905,"The new flames shot up, and threw a flickering light on the copper faces, many of which still wore the paint of the morning.
",perceived_space,2025-08-26
14,PG28631_raw.txt,1580,"Augustine walked with her to the door and down the stone passage outside, where a strip of faded carpet hardly kept one's feet from the cold.
",action_space,2025-08-26
15,PG30236_raw.txt,407,"The river, that by means of innumerable drains waters almost all these gardens, falls into a deep ravine, bordered on both sides by white and black poplars, osiers, flowering oleanders, and other leafy trees.
",descriptive_space,2025-08-26
16,PG20914_raw.txt,313,"From her window I saw Hendry buying dulse.
",visual_space,2025-08-26
17,PG1448_raw.txt,914,"Then she went to the cupboard and taking out Heidi's things rolled them up in a bundle.
",action_space,2025-08-26
18,PG25857_raw.txt,909,"So she concluded to drop the subject, and use more thought and tact in her endeavours to break up Mona's new friendship.
",no_space,2025-08-27
19,PG15899_raw.txt,341,"Lathrop returned to her own house to shed her apron and wash her hands, and then sallied over to view Mr. Clegg.
",action_space,2025-08-27
20,PG33478_raw.txt,9079,"M'Arthur merely nodded his head, and Cornwallis, rising from his chair, strode a few paces backwards and forwards through the room.
",action_space,2025-08-27
21,PG20247_raw.txt,3791,"He turned toward her with a smile of gratification, as if he knew she had detected something out of the ordinary in him.
",no_space,2025-08-27
22,PG22407_raw.txt,2964,"As the girl bent over the two baskets, lying in the bottom of the vinta, a frown puckered her brow.
",perceived_space,2025-08-27
